index,Date,time,max,region,label,record
357,2019-08-21,01:19:27,11.0,< 1.5,,
358,2019-08-21,01:19:40,12.1,< 1.5,,
359,2019-08-21,01:19:53,11.5,< 1.5,,
360,2019-08-21,01:20:07,11.6,< 1.5,,
361,2019-08-21,01:20:20,11.7,< 1.5,,
362,2019-08-21,01:20:33,11.6,< 1.5,,
363,2019-08-21,01:20:47,11.9,< 1.5,,
364,2019-08-21,01:21:00,12.0,< 1.5,,
365,2019-08-21,01:21:13,11.6,< 1.5,,
366,2019-08-21,01:21:27,11.9,< 1.5,,
367,2019-08-21,01:21:40,11.7,< 1.5,,
368,2019-08-21,01:21:53,11.8,< 1.5,,
369,2019-08-21,01:22:07,11.6,< 1.5,,
370,2019-08-21,01:22:20,12.0,< 1.5,,
371,2019-08-21,01:22:33,11.9,< 1.5,,
372,2019-08-21,01:22:47,11.9,< 1.5,,
373,2019-08-21,01:23:00,11.7,< 1.5,,
374,2019-08-21,01:23:13,10.6,< 1.5,,
375,2019-08-21,01:23:27,11.4,< 1.5,,
376,2019-08-21,01:23:40,11.3,< 1.5,,
377,2019-08-21,01:23:54,11.8,< 1.5,,
378,2019-08-21,01:24:07,11.6,< 1.5,,
379,2019-08-21,01:24:20,11.3,< 1.5,,
380,2019-08-21,01:24:34,12.0,< 1.5,,
381,2019-08-21,01:24:47,12.4,1.5 ~ 3,,
382,2019-08-21,01:25:00,11.2,< 1.5,,
383,2019-08-21,01:25:14,11.6,< 1.5,,
384,2019-08-21,01:25:27,12.0,< 1.5,,
385,2019-08-21,01:25:40,11.7,< 1.5,,
386,2019-08-21,01:25:54,12.1,< 1.5,,
387,2019-08-21,01:26:07,12.1,< 1.5,,
388,2019-08-21,01:26:20,11.5,< 1.5,,
389,2019-08-21,01:26:34,10.8,< 1.5,,
390,2019-08-21,01:26:47,11.1,< 1.5,,
391,2019-08-21,01:27:00,10.6,< 1.5,,
392,2019-08-21,01:27:14,11.1,< 1.5,,
393,2019-08-21,01:27:27,10.6,< 1.5,,
394,2019-08-21,01:27:40,10.8,< 1.5,,
395,2019-08-21,01:27:54,10.7,< 1.5,,
396,2019-08-21,01:28:07,10.9,< 1.5,,
397,2019-08-21,01:28:20,11.2,< 1.5,,
398,2019-08-21,01:28:34,10.5,< 1.5,,
399,2019-08-21,01:28:47,11.5,< 1.5,,
400,2019-08-21,01:29:00,11.7,< 1.5,,
